customer_vehicle_id,account_number,unique_vehicle_id,populated_on
3352,6627082,401165,9/19/2018
3100,6225899,346025,9/19/2018
3643,6195812,149196,9/19/2018
3114,7285765,313151,9/19/2018
3297,7578098,139026,9/19/2018
3358,5345783,424397,9/19/2018
3193,7516613,191326,9/19/2018
3623,7749269,324983,9/19/2018
3622,5659741,288820,9/19/2018
3777,5722669,387328,9/19/2018
3618,7956376,136960,9/19/2018
3044,7431731,496409,9/19/2018
3479,6192418,384208,9/19/2018
3955,5813753,230743,9/19/2018
3306,7051720,131740,9/19/2018
3783,5297245,172524,9/19/2018
3074,5040480,481230,9/19/2018
